id	shortName	source	defcount	canDistribute
93	DCR3	Dicționar de cuvinte recente, ediția a III-a, 2013	0	0
101	DLR - tomul I	Dicționarul limbii române - tomul I (ediție anastatică), 2010	0	0
102	DLR - tomul II	Dicționarul limbii române - tomul II (ediție anastatică), 2010	0	0
103	DLR - tomul III	Dicționarul limbii române - tomul III (ediție anastatică), 2010	0	0
104	DLR - tomul IV	Dicționarul limbii române - tomul IV (ediție anastatică), 2010	0	0
105	DLR - tomul V	Dicționarul limbii române - tomul V (ediție anastatică), 2010	0	0
106	DLR - tomul VI	Dicționarul limbii române - tomul VI (ediție anastatică), 2010	0	0
107	DLR - tomul VII	Dicționarul limbii române - tomul VII (ediție anastatică), 2010	0	0
108	DLR - tomul VIII	Dicționarul limbii române - tomul VIII (ediție anastatică), 2010	0	0
109	DLR - tomul IX	Dicționarul limbii române - tomul IX (ediție anastatică), 2010	0	0
110	DLR - tomul X	Dicționarul limbii române - tomul X - N–O (ediție anastatică), 2010	1256	0
111	DLR - tomul XI	Dicționarul limbii române - tomul XI (ediție anastatică), 2010	0	0
112	DLR - tomul XII	Dicționarul limbii române - tomul XII (ediție anastatică), 2010	0	0
113	DLR - tomul XIII	Dicționarul limbii române - tomul XIII (ediție anastatică), 2010	0	0
114	DLR - tomul XIV	Dicționarul limbii române - tomul XIV (ediție anastatică), 2010	0	0
115	DLR - tomul XV	Dicționarul limbii române - tomul XV (ediție anastatică), 2010	0	0
116	DLR - tomul XVI	Dicționarul limbii române - tomul XVI (ediție anastatică), 2010	0	0
117	DLR - tomul XVII	Dicționarul limbii române - tomul XVII (ediție anastatică), 2010	0	0
118	DLR - tomul XVIII	Dicționarul limbii române - tomul XVIII (ediție anastatică), 2010	0	0
119	DLR - tomul XIX	Dicționarul limbii române - tomul XIX (ediție anastatică), 2010	0	0
